status;official;origin;balancedVersion;IGNORE_workComment;card_code;title;IGNORE_phaseUp;phaseUp;phaseDown;cost;startingMegacredits;card_Type;IGNORE_tag_one;IGNORE_tag_two;IGNORE_tag_three;tagsId;vpNumber;vpScaling;IGNORE_requirement_desc;IGNORE_description;effectSummaryType;effectSummaryOption;effectSummaryType2;effectSummaryOption2;prerequisiteType;prerequisiteTresholdType;prerequisitePaidRessource;prerequisiteTag;prerequisiteTagId;prerequisiteTresholdStep;prerequisiteTresholdValue;IGNORE_stockableRessource1;IGNORE_stockableRessource1;IGNORE_stockableRessource1;stockableRessource;title_en;title_fr;vpText_en;vpText_fr;effectSummaryText_en;effectSummaryText_fr;effectText_en;effectText_fr;effectSummaryText2_en;effectSummaryText2_fr;effectText2_en;effectText2_fr;playedText_en;playedText_fr;prerequisiteSummaryText_en;prerequisiteSummaryText_fr;prerequisiteText_en;prerequisiteText_fr;actionTextOption1_en;actionTextOption1_fr;actionTextOption2_en;actionTextOption2_fr
validated;no;base;remove;busted;11;Asset Liquidation;III;III;;0;;blueProject;science;;;2;;0;;"You may play an additional blue or red card during this phase.
ACTION: Spend 1 terraforming point to draw 3 cards.";action;;;;;;;;;;;;;;;Asset Liquidation;Liquidation d'Actifs;;;$other_arrow$$skipline$-$other_tr$: 3$ressource_card$;$other_arrow$$skipline$-$other_tr$: 3$ressource_card$;ACTION: Spend 1 terraforming point to draw 3 cards.;ACTION: Dépensez 1 NT pour piocher trois cartes. ;;;;;You may play an additional blue or red card during this phase.;Vous pouvez jouer une carte bleue ou rouge supplémentaire lors de cette phase. ;;;;;-$other_tr$: 3$ressource_card$;;;
validated;yes;base;add;;11B;Asset Liquidation B;;;;0;;redProject;science;event;;2,9;;0;;You may play an additional blue or red card during this phase.$skipline$Draw 3 cards.;;;;;;;;;;;;;;;;Asset Liquidation B;Liquidation d'Actifs B;;;;;;;;;;;You may play an additional blue or red card during this phase.$skipline$Draw 3 cards.;Vous pouvez jouer une carte bleue ou rouge supplémentaire lors de cette phase. $skipline$Piochez 3 cartes.;-$other_tr$;-$other_tr$;Lose 1 TR.;Perdez 1 NT.;;;;
validated;yes;base;;;12;Birds;III;III;;15;;blueProject;animal;;;7;*;1;Oxygen white;"*=1 victory point per animal on this card.
ACTION: Add an animal to this card.";action;;;;;;;;;;;animal;;;animal;Birds;Oiseaux;/ $ressource_animal$;/ $ressource_animal$;$other_arrow$$skipline$$ressource_animal$;$other_arrow$$skipline$$ressource_animal$;ACTION: Add an animal to this card.;ACTION: Ajoutez un animal sur cette carte. ;;;;;;;$other_oxygen$;$other_oxygen$;Requires white Oxygen level.;Requiert un niveau d'oxygène blanc. ;$ressource_animal$;;;
validated;yes;base;;;13;Brainstorming Session;III;III;;8;;blueProject;space;;;1;;0;;ACTION: Reveal the top card of the deck. If it's green, discard it and gain 1 MC. Otherwise, keep it.;action;;;;;;;;;;;;;;;Brainstorming Session;Séance de Brainstorming ;;;$other_arrow$$other_researchcard$$skipline$$other_greencard$: $ressource_megacreditvoid_1$$skipline$$other_bluecard$/$other_redcard$: $ressource_card$;$other_arrow$$other_researchcard$$skipline$$other_greencard$: $ressource_megacreditvoid_1$$skipline$$other_bluecard$/$other_redcard$: $ressource_card$;ACTION: Reveal the top card of the deck. If it's green, discard it and gain 1 MC. Otherwise, keep it.;ACTION: Révélez la première carte de la pioche. Si elle est verte, déchaussez-la et gagnez 1 MC. Sinon, piochez-la. ;;;;;;;;;;;$other_researchcard$$skipline$$other_greencard$: $ressource_megacreditvoid_1$$skipline$$other_bluecard$/$other_redcard$: $ressource_card$;;;
validated;yes;base;;;14;Caretaker Contract;III;III;;18;;blueProject;;;;;2;0;Temperature yellow;ACTION: Spend 8 heat to increase your terraforming score by 1 step.;action;;;;;;;;;;;;;;;Caretaker Contract;Unité de Veille;;;$other_arrow$$skipline$-8$ressource_heat$: +$other_tr$;$other_arrow$$skipline$-8$ressource_heat$: +$other_tr$;ACTION: Spend 8 heat to increase your terraforming score by 1 step.;ACTION: Dépensez 8 chaleurs pour augmenter votre NT de 1. ;;;;;;;$other_temperature$;$other_temperature$;Requires a yellow or warmer Temperature level.;Requiert un niveau de température jaune ou plus chaude.;-8$ressource_heat$: +$other_tr$;;;
validated;yes;base;;;15;Circuit Board Factory;III;III;;14;;blueProject;building;;;0;;0;;ACTION: Draw a card.;action;;;;;;;;;;;;;;;Circuit Board Factory;Usine de Circuits Imprimés;;;$other_arrow$$skipline$$ressource_card$;$other_arrow$$skipline$$ressource_card$;ACTION: Draw a card.;ACTION: Piochez une carte.;;;;;;;;;;;$ressource_card$;;;
validated;yes;base;;;16;Community Gardens;III;III;;20;;blueProject;plant;;;6;;0;;ACTION: Earn 2 MC. If you chose the action phase this round, you also gain 1 plant.;action;;;;;;;;;;;;;;;Community Gardens;Jardins Communautaires ;;;$other_arrow$$skipline$$ressource_megacreditvoid_2$ $ressource_plant$*;$other_arrow$$skipline$$ressource_megacreditvoid_2$ $ressource_plant$*;ACTION: Earn 2 MC. If you chose the action phase this round, you also gain 1 plant.;ACTION: Gagnez 2 MC. Si vous avez choisi la phase d'actions lors de cette manche, gagnez également 1 MC. ;;;;;;;;;;;$ressource_megacreditvoid_2$ $ressource_plant$*;;;
validated;no;base;remove;;17;Composting Factory;!-V;!-V;;13;;blueProject;building;;;0;1;0;;EFFECT: Cards you discard for MC are worth an additional MC.;trigger;;;;;;;;;;;;;;;Composting Factory;Usine de Compostage ;;;$other_sellcard$: +$ressource_megacreditvoid_1$;$other_sellcard$: +$ressource_megacreditvoid_1$;EFFECT: Cards you discard for MC are worth an additional MC.;EFFET: Les cartes que vous défaussez pour gagner des MC vous rapportent 1 MC supllémentaire. ;;;;;;;;;;;;;;
validated;yes;base;;;18;Conserved Biome;III;III;;25;;blueProject;building;microbe;animal;0,8,7;*;1;;"*=1 victory point for every 2 forest tiles you have.
ACTION: Add a microbe to another card or add an animal to another card.";action;;;;;;;;;;;;;;;Conserved Biome;Biome Préservé;/ $other_forest$$other_forest$;/ $other_forest$$other_forest$;$other_arrow$ $ressource_microbe$ *$skipline$OR$skipline$$other_arrow$ $ressource_animal$ *;$other_arrow$ $ressource_microbe$ *$skipline$OU$skipline$$other_arrow$ $ressource_animal$ *;ACTION: Add a microbe to another card or add an animal to another card.;ACTION: Ajoutez un microbe sur une AUTRE* carte ou ajoutez un animal sur une AUTRE* carte.;;;;;;;;;;;$ressource_microbe$*;;$ressource_animal$*;
validated;yes;base;;;19;Decomposers;I-II;I-II;;7;;blueProject;microbe;;;8;1;0;Oxygen red;EFFECT: When you play a ANIMAL, MICROBES or PLANT, including this one, add a microbe here or remove a microbe here to draw a card.;trigger;;;;;;;;;;;microbe;;;microbe;Decomposers;Agents de Décompostions ;;;$tag_animal$/$tag_microbe$/$tag_plant$:$skipline$+$ressource_microbe$ OR$skipline$-$ressource_microbe$: $ressource_card$;$tag_animal$/$tag_microbe$/$tag_plant$:$skipline$+$ressource_microbe$ OU$skipline$-$ressource_microbe$: $ressource_card$;EFFECT: When you play a $tag_animal$, $tag_microbe$ or $tag_plant$, including this one, add a microbe here or remove a microbe here to draw a card.;EFFET: Lorsque vous jouez une $tag_animal$, $tag_microbe$, ou $tag_plant$, y compris celui-ci, ajoutez un microbe sur cette carte ou retirez un microbe de cette carte pour piochez uen carte. ;;;;;;;$other_oxygen$;$other_oxygen$;Requires a Red or higher Oxygen level.;Requiert un niveau d'oxygène rouge ou supérieur. ;;;;
implemented;yes;base;;;20;Decomposing Fungus;III;III;;10;;blueProject;microbe;;;8;;0;;"Place 2 microbes on this card.
ACTION: Remove 1 animal or 1 microbe from one of your cards to gain 3 plants.";action;;;;;;;;;;;microbe;;;microbe;Decomposing Fungus;Champignons en Décomposition;;;$other_arrow$$skipline$-$ressource_animal$* / -$ressource_microbe$*:$skipline$$ressource_plant$$ressource_plant$$ressource_plant$;$other_arrow$$skipline$-$ressource_animal$* / -$ressource_microbe$*:$skipline$$ressource_plant$$ressource_plant$$ressource_plant$;ACTION: Remove 1 animal or 1 microbe from one of your cards to gain 3 plants.;ACTION: Retirez 1 animal ou 1 microbe de l'une de vos cartes pour gagner 3 plantes.;;;;;Place 2 microbes on this card.;Placez 2 microbes sur cette carte.;;;;;-$ressource_animal$* / -$ressource_microbe$*:$skipline$$ressource_plant$$ressource_plant$$ressource_plant$;;;
validated;yes;base;;;21;Developped Infrastructure;III;III;;12;;blueProject;;;;;1;0;;ACTION: Spend 10 MC to increase the temperature by 1 step. Reduce this cost by 5 MC if you have 5 or more blue cards in play.;action;scalingCostActivation;;;;;;;;;;;;;;Developped Infrastructure;Infrastructures Développée ;;;$other_arrow$$skipline$$ressource_megacreditvoid_10$:$other_temperature$$skipline$$ressource_megacreditvoid_-5$ if >=5$other_bluecard$;$other_arrow$$skipline$$ressource_megacreditvoid_10$:$other_temperature$$skipline$$ressource_megacreditvoid_-5$ if >=5$other_bluecard$;ACTION: Spend 10 MC to increase the temperature by 1 step. Reduce this cost by 5 MC if you have 5 or more blue cards in play.;ACTION: Dépensez 10 MC pour augmenter la temprétaure de 1 niveau. Ce coût est réduit de 5 MC si vous avez au moins cinq cartes bleues en jeu. ;;;;;;;;;;;$ressource_megacreditvoid_10$:$other_temperature$$skipline$$ressource_megacreditvoid_-5$ if >=5$other_bluecard$;;;
validated;yes;base;;;22;Development Center;III;III;;7;;blueProject;science;building;;2,0;;0;;ACTION: Spend 2 heat to draw a card.;action;;;;;;;;;;;;;;;Development Center;Centre de Développement ;;;$other_arrow$$skipline$-$ressource_heat$$ressource_heat$: $ressource_card$;$other_arrow$$skipline$-$ressource_heat$$ressource_heat$: $ressource_card$;ACTION: Spend 2 heat to draw a card.;ACTION: Dépensez 2 chaleurs pour piocher une carte. ;;;;;;;;;;;-$ressource_heat$$ressource_heat$: $ressource_card$;;;
validated;yes;base;;;23;Earth Catapult;I-II;I-II;;24;;blueProject;building;earth;;0,4;2;0;;EFFECT: Whenever you play a card, you pay 2 MC less for it.;trigger;;;;;;;;;;;;;;;Earth Catapult;Catapulte Terrestre;;;$ressource_card$: $ressource_megacreditvoid_-2$;$ressource_card$: $ressource_megacreditvoid_-2$;EFFECT: Whenever you play a card, you pay 2 MC less for it.;EFFET : Lorsque vous jouez une carte, le coût associé est réduit de 2 MC. ;;;;;;;;;;;;;;
validated;yes;base;;;24;Ecological Zone;I-II;I-II;;11;;blueProject;plant;animal;;6,7;*;1;;"*=1 victory point for every 2 animals on this card.
EFFECT: When you play one PLANT or ANIMAL including this one, add an animal to this card.";trigger;;;;;;;;;;;animal;;;animal;Ecological Zone;Zone Ecologique ;/ $ressource_animal$$ressource_animal$;/ $ressource_animal$$ressource_animal$;$tag_plant$/$tag_animal$:$skipline$$ressource_animal$;$tag_plant$/$tag_animal$:$skipline$$ressource_animal$;EFFECT: When you play one $tag_plant$ or $tag_animal$ including this one, add an animal to this card.;EFFET: Lorsque vous jouez un $tag_animal$ ou $tag_plant$, y compris ceux-ci, ajoutez un animal sur cette carte. ;;;;;;;;;;;;;;
validated;yes;base;;;25;Energy Subsidies;I-II;I-II;;5;;blueProject;space;;;1;;0;;EFFECT: When you play a POWER, you pay 4 MC less for it and draw a card.;trigger;;;;;;;;;;;;;;;Energy Subsidies;Subventions à l'Energie;;;$tag_power$:$skipline$$ressource_megacreditvoid_-4$$ressource_card$;$tag_power$:$skipline$$ressource_megacreditvoid_-4$$ressource_card$;EFFECT: When you play a $tag_power$, you pay 4 MC less for it and draw a card.;EFFET: Lorsque vous jouez un $tag_power$, le coût associé est réduit de 4 MC et vous piochez une carte.;;;;;;;;;;;;;;
validated;yes;base;;;26;Extended Resources;V;V;;10;;blueProject;science;building;;2,0;;0;;EFFECT: When you keep cards during the research phase, keep 1 additional card.;trigger;;;;;;;;;;;;;;;Extended Resources;Ressources Etendues;;;$other_researchsymbol$: $ressource_card$;$other_researchsymbol$: $ressource_card$;EFFECT: When you keep cards during the research phase, keep 1 additional card.;EFFET: Lorsque vous conservez des cartes pendant la phase de recherche, conservez une carte supplémentaire. ;;;;;;;;;;;;;;
validated;yes;base;;;27;Extreme-Cold Fungus;III;III;;10;;blueProject;microbe;;;8;;0;Temperature purple;ACTION: Gain 1 plant or add 1 microbe to another card.;action;;;;;;;;;;;;;;;Extreme-Cold Fungus;Champignons Extrémophiles;;;$other_arrow$$skipline$$ressource_plant$ / $ressource_microbe$*;$other_arrow$$skipline$$ressource_plant$ / $ressource_microbe$*;ACTION: Gain 1 plant or add 1 microbe to another card.;ACTION: Gagnez 1 plante ou ajoutez un microbe sur une AUTRE* carte. ;;;;;;;$other_temperature$;$other_temperature$;Requires a purple Temperature level.;;$ressource_plant$;; $ressource_microbe$*;
validated;yes;base;;;28;Farmers Market;III;III;;12;;blueProject;plant;;;6;1;0;;ACTION: Spend 1 MC to gain 2 plants.;action;;;;;;;;;;;;;;;Farmers Market;Marché des Primeurs;;;$other_arrow$$skipline$$ressource_megacreditvoid_-1$: $ressource_plant$$ressource_plant$;$other_arrow$$skipline$$ressource_megacreditvoid_-1$: $ressource_plant$$ressource_plant$;ACTION: Spend 1 MC to gain 2 plants.;ACTION: Dépensez 1 MC pour gagner 2 plantes. ;;;;;;;;;;;$ressource_megacreditvoid_-1$: $ressource_plant$$ressource_plant$;;;
validated;yes;base;;;29;Farming Co-ops;III;III;;15;;blueProject;plant;;;6;;0;;"Gain 3 plants.
ACTION: Discard a card from your hand to gain 3 plants.";action;;;;;;;;;;;;;;;Farming Co-ops;Coopératives Agricoles;;;$other_arrow$$skipline$-$ressource_card$: $ressource_plant$$ressource_plant$$ressource_plant$;$other_arrow$$skipline$-$ressource_card$: $ressource_plant$$ressource_plant$$ressource_plant$;ACTION: Discard a card from your hand to gain 3 plants.;ACTION: Défaussez une carte de votre main pour gagner 3 plantes;;;;;Gain 3 plants.;Gagnez 3 plantes.;;;;;$ressource_card$  3 $ressource_plant$;;;
validated;yes;base;;;30;Fish;I-III;I-III;;11;;blueProject;animal;;;7;*;1;Temperature red;"*=1 victory point per animal on this card.
EFFECT: When you flip an ocean tile, add 1 animal to this card.";trigger;;;;;;;;;;;animal;;;animal;Fish;Poissons ;/ $ressource_animal$;/ $ressource_animal$;$other_ocean$: $ressource_animal$;$other_ocean$: $ressource_animal$;EFFECT: When you flip an ocean tile, add 1 animal to this card.;EFFET: Lorsque vous révélez une tuile Océan, ajoutez 1 animal sur cette carte. ;;;;;;;$other_temperature$;$other_temperature$;Requires a Red or warmer Temperature level.;Requiert un niveau de température rouge ou plus chaud. ;;;;
validated;no;base;remove;;31;GHG Producing Bacteria;III;III;;10;;blueProject;science;microbe;;2,8;;0;Oxygen red;ACTION: Add 1 microbe to this card, or remove 2 microbes to raise the temperature 1 step.;action;;;;;;;;;;;microbe;;;microbe;GHG Producing Bacteria;Bactéries Productrices de GES;;;$other_arrow$$ressource_microbe$$skipline$OR$skipline$-$ressource_microbe$$ressource_microbe$:  $other_temperature$;$other_arrow$$ressource_microbe$$skipline$OU$skipline$-$ressource_microbe$$ressource_microbe$:  $other_temperature$;ACTION: Add 1 microbe to this card, or remove 2 microbes to raise the temperature 1 step.;ACTION: Ajoutez 1 microbe sur cette carte ou retirez 2 microbes pour augmenter la température de 1 niveau. ;;;;;;;$other_oxygen$;$other_oxygen$;Requires red or higher Oxygen level.;Requiert un niveau d'oxygène rouge ou supérieur. ;$other_arrow$$ressource_microbe$;;-$ressource_microbe$$ressource_microbe$:  $other_temperature$;
validated;yes;base;add;;31B;GHG Producing Bacteria B;III;III;;10;;blueProject;science;microbe;;2,8;;0;Oxygen red;ACTION: Add 1 microbe to this card, or remove 2 microbes to raise the temperature 1 step.;action;;;;;;;;;;;microbe;;;microbe;GHG Producing Bacteria B;Bactéries Productrices de GES B;;;$other_arrow$$ressource_microbe$$skipline$OR$skipline$-$ressource_microbe$$ressource_microbe$:  $other_temperature$;$other_arrow$$ressource_microbe$$skipline$OU$skipline$-$ressource_microbe$$ressource_microbe$:  $other_temperature$;ACTION: Add 1 microbe to this card, or remove 2 microbes to raise the temperature 1 step.;ACTION: Ajoutez 1 microbe sur cette carte ou retirez 2 microbes pour augmenter la température de 1 niveau. ;;;;;;;;;;;$other_arrow$$ressource_microbe$;;-$ressource_microbe$$ressource_microbe$:  $other_temperature$;
validated;yes;base;;;32;Greenhouses;III;III;;11;;blueProject;building;plant;;0,6;;0;Temperature yellow;ACTION: Spend up to 4 heat to get that number of plants.;action;;;;;;;;;;;;;;;Greenhouses;Serres;;;$other_arrow$$skipline$1-4$ressource_heat$:$skipline$1-4$ressource_plant$;$other_arrow$$skipline$1-4$ressource_heat$:$skipline$1-4$ressource_plant$;ACTION: Spend up to 4 heat to get that number of plants.;ACTION: Dépensez jusqu'à 4 chaleurs pour gagner une même quantité de plantes. ;;;;;;;$other_temperature$;$other_temperature$;Requires a yellow or warmer Temperature level.;Requiert un niveau de température jaune ou plus chaud. ;1-4$ressource_heat$: 1-4$ressource_plant$;;;
validated;yes;base;;;33;Herbivores;I-III;I-III;;25;;blueProject;animal;;;7;*;1;5 Oceans flipped;"*=1 victory point for every 2 animals on this card.
EFFECT: Whenever you raise oxygen, flip an ocean tile, or increase temperature, add 1 animal to this card.";trigger;;;;;;;;;;;animal;;;animal;Herbivores;Herbivores;/ $ressource_animal$$ressource_animal$;/ $ressource_animal$$ressource_animal$;$other_ocean$/$other_temperature$/$other_oxygen$:$skipline$$ressource_animal$;$other_ocean$/$other_temperature$/$other_oxygen$:$skipline$$ressource_animal$;EFFECT: Whenever you raise oxygen, flip an ocean tile, or increase temperature, add 1 animal to this card.;EFFET: Lorsque vous augmentez le niveau d'oxygène, révélez une tuile Océan ou augmentez la temprétaure. Ajoutez 1 animal sur cette carte. ;;;;;;;5$other_ocean$;5$other_ocean$;Requires 5 Oceans flipped.;Requiert que 5 tuiles Océan soient révélées. ;;;;
validated;yes;base;;;34;Hydro-Electric Energy;III;III;;11;;blueProject;building;;;0;;0;;ACTION: Spend 1 MC to gain 2 heat. If you chose the action phase this round, gain 1 additional heat.;action;;;;;;;;;;;;;;;Hydro-Electric Energy;Energie Hydroélectrique ;;;$other_arrow$$skipline$$ressource_megacreditvoid_-1$: $ressource_heat$$ressource_heat$$skipline$$ressource_heat$*;$other_arrow$$skipline$$ressource_megacreditvoid_-1$: $ressource_heat$$ressource_heat$$skipline$$ressource_heat$*;ACTION: Spend 1 MC to gain 2 heat. If you chose the action phase this round, gain 1 additional heat.;ACTION: Dépensez 1 MC pour gagner 2 chaleurs. *Si vous avez choisi la phase d'actions lors de cette manchez gagnez 1 chaleur supplémentaire. ;;;;;;;;;;;$ressource_megacreditvoid_-1$: $ressource_heat$$ressource_heat$$skipline$$ressource_heat$*;;;
